Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
TF.4162.54.2,ADNI_Females,5e-05,0.00129107,0.000938008,0.0144033,0.0134653,0.07,-0.0756876,0.0988898,0.444049,57,N,0.352569103634385
TF.4162.54.2,ANM_Females,0.001,0.00208498,0.00171769,0.157338,0.155621,0.07,0.0951157,0.108153,0.379154,766,N,0.42118435793203
TF.4162.54.2,GERAD_Females,5e-05,0.00130076,0.00107838,0.0186539,0.0175755,0.07,0.0631485,0.0436684,0.148152,57,N,0.829292481321284
TNC.4155.3.2,ADNI_Females,0.05,0.0028404,0.00206468,0.01553,0.0134653,0.07,0.110585,0.0983922,0.261045,21173,N,0.583284620757059
TNC.4155.3.2,ANM_Females,0.05,0.0151324,0.012531,0.168152,0.155621,0.07,-0.259965,0.111034,0.0192165,21332,Y,1.716325709753
TNC.4155.3.2,GERAD_Females,0.01,0.00108306,0.00089787,0.0184734,0.0175755,0.07,-0.0579662,0.0438321,0.186015,5776,N,0.730452033445715
TNF.5936.53.3,ADNI_Females,5e-05,0.00381031,0.00277057,0.0162358,0.0134653,0.07,-0.129123,0.097891,0.187153,37,N,0.72780320689846
TNF.5936.53.3,ANM_Females,0.05,0.00495275,0.00408488,0.159706,0.155621,0.07,0.144746,0.107974,0.180065,21169,N,0.744570694643238
TNF.5936.53.3,GERAD_Females,0.2,0.00150367,0.00124663,0.0188221,0.0175755,0.07,-0.068531,0.0442439,0.121397,60698,N,0.915792045546957
VCAM1.2967.8.1,ADNI_Females,0.2,0.0208298,0.0152293,0.0286946,0.0134653,0.07,0.303028,0.102628,0.00315014,60962,Y,2.50167014466235
VCAM1.2967.8.1,ANM_Females,0.5,0.0100482,0.00830412,0.163925,0.155621,0.07,0.207781,0.108584,0.055679,111312,N,1.25430857329659
VCAM1.2967.8.1,GERAD_Females,5e-05,0.00209543,0.00173736,0.0193128,0.0175755,0.07,0.0801016,0.0439542,0.0683962,60,N,1.16496802642133
VTN.13125.45.3,ADNI_Females,0.05,0.000847516,0.000615663,0.0140809,0.0134653,0.07,-0.0624322,0.098971,0.528163,21325,N,0.277232026186012
VTN.13125.45.3,ANM_Females,5e-05,0.00769915,0.0063569,0.161978,0.155621,0.07,0.186007,0.106775,0.0814988,84,N,1.08884878582708
VTN.13125.45.3,GERAD_Females,1,0.00085165,0.000706009,0.0182815,0.0175755,0.07,0.0516817,0.0438319,0.238363,145998,N,0.622761157249404
